Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FHV;ELEK_HS2;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_HS2;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;2.1609100
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;25.9309200
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.7872425
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;57.4469100
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;3.2413650
FHV;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;38.8963800
FHV;ELEK_MS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FHV;ELEK_MS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_MS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0003640
FHV;ELEK_MS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000302
FHV;ELEK_MS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FHV;ELEK_MS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_MS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.0925841
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;37.1110092
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;5.0116266
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;60.1395192
FHV;ELEK_MS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.6388762
