Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FI;LD;Afname;Databeheer MMR;EUR/jaar;0
FI;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FI;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FI;LD;Afname;Pensioenen;EUR/kWh;0
FI;LD;Afname;Heffingen;EUR/kWh;0
FI;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FI;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FI;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;MD;Afname;Databeheer AMR;EUR/jaar;0
FI;MD;Afname;Databeheer MMR;EUR/jaar;0
FI;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FI;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FI;MD;Afname;Pensioenen;EUR/kWh;0
FI;MD;Afname;Heffingen;EUR/kWh;0
FK;T1;Afname;Basistarief Vaste Term;EUR/jaar;15.25
FK;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0211761
FK;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;T1;Afname;Databeheer AMR;EUR/jaar;0
FK;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FK;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FK;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0000643
FK;T1;Afname;Pensioenen;EUR/kWh;0.0001469
FK;T1;Afname;Heffingen;EUR/kWh;0.0000739
FK;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FK;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FK;T2;Afname;Basistarief Vaste Term;EUR/jaar;80.97
FK;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0080343
FK;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;T2;Afname;Databeheer AMR;EUR/jaar;0
FK;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FK;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FK;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0000643
FK;T2;Afname;Pensioenen;EUR/kWh;0.0001469
FK;T2;Afname;Heffingen;EUR/kWh;0.0000739
FK;T3;Afname;Basistarief Vaste Term;EUR/jaar;547.41
FK;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0049248
FK;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;T3;Afname;Databeheer AMR;EUR/jaar;0
FK;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FK;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FK;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0000643
FK;T3;Afname;Pensioenen;EUR/kWh;0.0001469
FK;T3;Afname;Heffingen;EUR/kWh;0.0000739
FK;T4;Afname;Basistarief Vaste Term;EUR/jaar;5082.04
FK;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003902
FK;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;T4;Afname;Databeheer AMR;EUR/jaar;0
FK;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FK;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FK;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FK;T4;Afname;Pensioenen;EUR/kWh;0.0000256
FK;T4;Afname;Heffingen;EUR/kWh;0.0000129
FK;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FK;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003902
FK;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.0328178
FK;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FK;T5;Afname;Databeheer MMR;EUR/jaar;0
FK;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FK;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FK;T5;Afname;Pensioenen;EUR/kWh;0.0000256
FK;T5;Afname;Heffingen;EUR/kWh;0.0000129
FK;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FK;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003194
FK;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.489178
FK;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FK;T6;Afname;Databeheer MMR;EUR/jaar;0
FK;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FK;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FK;T6;Afname;Pensioenen;EUR/kWh;0.0000052
FK;T6;Afname;Heffingen;EUR/kWh;0.0000026
FK;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FK;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FK;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;LD;Afname;Databeheer AMR;EUR/jaar;0
FK;LD;Afname;Databeheer MMR;EUR/jaar;0
FK;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FK;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FK;LD;Afname;Pensioenen;EUR/kWh;0
FK;LD;Afname;Heffingen;EUR/kWh;0
FK;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FK;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FK;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FK;MD;Afname;Databeheer AMR;EUR/jaar;0
FK;MD;Afname;Databeheer MMR;EUR/jaar;0
FK;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FK;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FK;MD;Afname;Pensioenen;EUR/kWh;0
FK;MD;Afname;Heffingen;EUR/kWh;0
FL;T1;Afname;Basistarief Vaste Term;EUR/jaar;13.76
FL;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0191134
FL;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FL;T1;Afname;Databeheer AMR;EUR/jaar;0
FL;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FL;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FL;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0001808
FL;T1;Afname;Pensioenen;EUR/kWh;0.0017778
FL;T1;Afname;Heffingen;EUR/kWh;0.0000626
FL;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FL;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FL;T2;Afname;Basistarief Vaste Term;EUR/jaar;73.08
FL;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0072517
FL;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FL;T2;Afname;Databeheer AMR;EUR/jaar;0
FL;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FL;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FL;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0001808
FL;T2;Afname;Pensioenen;EUR/kWh;0.0017778
FL;T2;Afname;Heffingen;EUR/kWh;0.0000626
FL;T3;Afname;Basistarief Vaste Term;EUR/jaar;494.08
FL;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0044451
FL;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FL;T3;Afname;Databeheer AMR;EUR/jaar;0
FL;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FL;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FL;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0001808
FL;T3;Afname;Pensioenen;EUR/kWh;0.0017778
FL;T3;Afname;Heffingen;EUR/kWh;0.0000626
FL;T4;Afname;Basistarief Vaste Term;EUR/jaar;4587
FL;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003522
FL;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FL;T4;Afname;Databeheer AMR;EUR/jaar;0
FL;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FL;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FL;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FL;T4;Afname;Pensioenen;EUR/kWh;0.0003337
FL;T4;Afname;Heffingen;EUR/kWh;0.0000118
FL;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FL;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003522
FL;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;1.8347995
FL;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FL;T5;Afname;Databeheer MMR;EUR/jaar;0
FL;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FL;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FL;T5;Afname;Pensioenen;EUR/kWh;0.0003337
FL;T5;Afname;Heffingen;EUR/kWh;0.0000118
FL;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FL;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0002883
FL;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.4415268
FL;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FL;T6;Afname;Databeheer MMR;EUR/jaar;0
FL;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FL;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FL;T6;Afname;Pensioenen;EUR/kWh;0.0000689
FL;T6;Afname;Heffingen;EUR/kWh;0.0000024
FL;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FL;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FL;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FL;LD;Afname;Databeheer AMR;EUR/jaar;0
FL;LD;Afname;Databeheer MMR;EUR/jaar;0
FL;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FL;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FL;LD;Afname;Pensioenen;EUR/kWh;0
FL;LD;Afname;Heffingen;EUR/kWh;0
FL;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FL;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FL;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
