Postcode;Gemeente;DNB Elektriciteit;DNB Gas;GasType Oud;GasType Nieuw
2235;Hulshout;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2240;Zandhoven;Fluvius Kempen;Fluvius Kempen;L;H
2288;Bouwel;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2430;Vorst (Kempen);Fluvius Limburg;Fluvius Limburg;L;H
2431;Varendonk;Fluvius Limburg;Fluvius Limburg;L;H
2480;Dessel;Fluvius Kempen;Fluvius Kempen;L;H
2500;Lier;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2530;Boechout;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2540;Hove;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2610;Wilrijk;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2620;Hemiksem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2830;Blaasveld;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2840;Reet;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2900;Schoten;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2950;Kapellen (Antw.);Fluvius Antwerpen;Fluvius Antwerpen;L;H
3018;Wijgmaal;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3020;Herent;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3040;Sint-Agatha-Rode;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3060;Bertem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3080;Duisburg;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3080;Tervuren;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3140;Keerbergen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3290;Schaffen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3360;Lovenjoel;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3360;Opvelp;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3370;Kerkom;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3370;Vertrijk;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3370;Willebringen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3390;Tielt (Vl.Br.);Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3391;Meensel-Kiezegem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3450;Grazen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3473;Waanrode;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3530;Houthalen-Oost;Fluvius Limburg;Fluvius Limburg;H;H
3530;Helchteren;Fluvius Limburg;Fluvius Limburg;L;H
3540;Schulen;Fluvius Limburg;Fluvius Limburg;L;H
3560;Linkhout;Fluvius Limburg;Fluvius Limburg;L;H
3581;Beverlo;Fluvius Limburg;Fluvius Limburg;L;H
3600;Genk;Fluvius Limburg;Fluvius Limburg;H;H
3631;Boorsem;Fluvius Limburg;Fluvius Limburg;H;H
3640;Kinrooi;Fluvius Limburg;Fluvius Limburg;H;H
3660;Opglabbeek;Fluvius Limburg;Fluvius Limburg;H;H
3680;Maaseik;Fluvius Limburg;Fluvius Limburg;H;H
3730;Romershoven;Fluvius Limburg;Fluvius Limburg;H;H
3770;Genoelselderen;Fluvius Limburg;Fluvius Limburg;H;H
3800;Brustem;Fluvius Limburg;Fluvius Limburg;H;H
3830;Wellen;Fluvius Limburg;Fluvius Limburg;H;H
3840;Kerniel;Fluvius Limburg;Fluvius Limburg;H;H
3850;Wijer;Fluvius Limburg;Fluvius Limburg;L;H
3870;Rukkelingen-Loon;Fluvius Limburg;Fluvius Limburg;H;H
3890;Jeuk;Fluvius Limburg;Fluvius Limburg;L;H
3891;Mielen-boven-Aalst;Fluvius Limburg;Fluvius Limburg;L;H
3941;Eksel;Fluvius Limburg;Fluvius Limburg;H;H
3950;Bocholt;Fluvius Limburg;Fluvius Limburg;H;H
8300;Westkapelle;Fluvius Imewo;Fluvius Imewo;H;H
8301;Ramskapelle (Knokke-Heist);Fluvius Imewo;Fluvius Imewo;H;H
8340;Oostkerke (Damme);Fluvius Imewo;Fluvius Imewo;H;H
8370;Blankenberge;Fluvius Imewo;Fluvius Imewo;H;H
8400;Stene;Fluvius Imewo;Fluvius Imewo;H;H
8490;Jabbeke;Fluvius Imewo;Fluvius Imewo;H;H
8553;Otegem;Fluvius West;Fluvius West;H;H
8570;Ingooigem;Fluvius West;Fluvius West;H;H
8581;Waarmaarde;Fluvius West;Fluvius West;H;H
8583;Bossuit;Fluvius West;Fluvius West;H;H
8600;Diksmuide;Fluvius West;Fluvius West;H;H
8600;Keiem;Fluvius West;Fluvius West;H;H
8630;Avekapelle;Fluvius West;Fluvius West;H;H
8630;Houtem;Fluvius West;Fluvius West;H;H
8647;Noordschote;Fluvius West;Fluvius West;H;H
8650;Houthulst;Fluvius West;Fluvius West;H;H
8691;Izenberge;Fluvius West;Fluvius West;H;H
8700;Tielt;Fluvius West;Fluvius West;H;H
8720;Oeselgem;Fluvius West;Fluvius West;H;H
8750;Wingene;Fluvius West;Fluvius West;H;H
8793;Sint-Eloois-Vijve;Fluvius West;Fluvius West;H;H
8870;Izegem;Fluvius West;Fluvius West;H;H
8940;Geluwe;Fluvius West;Fluvius West;H;H
8951;Dranouter;Fluvius West;Fluvius West;H;H
8970;Reningelst;Fluvius West;Fluvius West;H;H
8980;Zonnebeke;Fluvius West;Fluvius West;H;H
9051;Afsnee;Fluvius Imewo;Fluvius Imewo;H;H
9170;Meerdonk;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9185;Wachtebeke;Fluvius Imewo;Fluvius Imewo;H;H
9308;Hofstade (O.-Vl.);Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9400;Appelterre-Eichem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9400;Ninove;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9420;Bambrugge;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9420;Burst;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9500;Goeferdinge;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9500;Overboelare;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9520;Vlierzele;Fluvius Imewo;Fluvius Imewo;H;H
9570;Deftinge;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9571;Hemelveerdegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9620;Erwetegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9620;Velzeke-Ruddershove;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9660;Brakel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9660;Michelbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9700;Heurne;Fluvius West;Fluvius West;H;H
9790;Wortegem;Fluvius West;Fluvius West;H;H
9800;Grammene;Fluvius Imewo;Fluvius Imewo;H;H
9820;Lemberge;Fluvius Imewo;Fluvius Imewo;H;H
9830;Sint-Martens-Latem;Fluvius Imewo;Fluvius Imewo;H;H
9860;Balegem;Fluvius Imewo;Fluvius Imewo;H;H
9870;Zulte;Fluvius West;Fluvius West;H;H
9890;Asper;Fluvius West;Fluvius West;H;H
9890;Dikkelvenne;Fluvius West;Fluvius West;H;H
9890;Vurste;Fluvius West;Fluvius West;H;H
9900;Eeklo;Fluvius Imewo;Fluvius Imewo;H;H
